time_utc,discharge_cfs,unit,approval_status,qualifier,time_local
2018-09-12 10:15:00+00:00,77.5,ft^3/s,Approved,,2018-09-12 06:15:00-04:00
2018-09-12 10:30:00+00:00,77.5,ft^3/s,Approved,,2018-09-12 06:30:00-04:00
2018-09-12 10:45:00+00:00,76.7,ft^3/s,Approved,,2018-09-12 06:45:00-04:00
2018-09-12 11:00:00+00:00,76.7,ft^3/s,Approved,,2018-09-12 07:00:00-04:00
2018-09-12 11:15:00+00:00,76.7,ft^3/s,Approved,,2018-09-12 07:15:00-04:00
2018-09-12 11:30:00+00:00,76.0,ft^3/s,Approved,,2018-09-12 07:30:00-04:00
2018-09-12 11:45:00+00:00,76.0,ft^3/s,Approved,,2018-09-12 07:45:00-04:00
2018-09-12 12:00:00+00:00,76.0,ft^3/s,Approved,,2018-09-12 08:00:00-04:00
2018-09-12 12:15:00+00:00,76.0,ft^3/s,Approved,,2018-09-12 08:15:00-04:00
2018-09-12 12:30:00+00:00,75.2,ft^3/s,Approved,,2018-09-12 08:30:00-04:00
2018-09-12 12:45:00+00:00,75.2,ft^3/s,Approved,,2018-09-12 08:45:00-04:00
2018-09-12 13:00:00+00:00,74.5,ft^3/s,Approved,,2018-09-12 09:00:00-04:00
2018-09-12 13:15:00+00:00,74.5,ft^3/s,Approved,,2018-09-12 09:15:00-04:00
2018-09-12 13:30:00+00:00,74.5,ft^3/s,Approved,,2018-09-12 09:30:00-04:00
2018-09-12 13:45:00+00:00,74.5,ft^3/s,Approved,,2018-09-12 09:45:00-04:00
2018-09-12 14:00:00+00:00,74.5,ft^3/s,Approved,,2018-09-12 10:00:00-04:00
2018-09-12 14:15:00+00:00,73.7,ft^3/s,Approved,,2018-09-12 10:15:00-04:00
2018-09-12 14:30:00+00:00,73.7,ft^3/s,Approved,,2018-09-12 10:30:00-04:00
2018-09-12 14:45:00+00:00,73.7,ft^3/s,Approved,,2018-09-12 10:45:00-04:00
2018-09-12 15:00:00+00:00,73.0,ft^3/s,Approved,,2018-09-12 11:00:00-04:00
2018-09-12 15:15:00+00:00,73.0,ft^3/s,Approved,,2018-09-12 11:15:00-04:00
2018-09-12 15:30:00+00:00,73.0,ft^3/s,Approved,,2018-09-12 11:30:00-04:00
2018-09-12 15:45:00+00:00,73.0,ft^3/s,Approved,,2018-09-12 11:45:00-04:00
2018-09-12 16:00:00+00:00,73.0,ft^3/s,Approved,,2018-09-12 12:00:00-04:00
2018-09-12 16:15:00+00:00,72.3,ft^3/s,Approved,,2018-09-12 12:15:00-04:00
2018-09-12 16:30:00+00:00,72.3,ft^3/s,Approved,,2018-09-12 12:30:00-04:00
2018-09-12 16:45:00+00:00,72.3,ft^3/s,Approved,,2018-09-12 12:45:00-04:00
2018-09-12 17:00:00+00:00,72.3,ft^3/s,Approved,,2018-09-12 13:00:00-04:00
2018-09-12 17:15:00+00:00,72.3,ft^3/s,Approved,,2018-09-12 13:15:00-04:00
2018-09-12 17:30:00+00:00,71.6,ft^3/s,Approved,,2018-09-12 13:30:00-04:00
2018-09-12 17:45:00+00:00,71.6,ft^3/s,Approved,,2018-09-12 13:45:00-04:00
2018-09-12 18:00:00+00:00,71.6,ft^3/s,Approved,,2018-09-12 14:00:00-04:00
2018-09-12 18:15:00+00:00,70.8,ft^3/s,Approved,,2018-09-12 14:15:00-04:00
2018-09-12 18:30:00+00:00,70.8,ft^3/s,Approved,,2018-09-12 14:30:00-04:00
2018-09-12 18:45:00+00:00,70.8,ft^3/s,Approved,,2018-09-12 14:45:00-04:00
2018-09-12 19:00:00+00:00,70.1,ft^3/s,Approved,,2018-09-12 15:00:00-04:00
2018-09-12 19:15:00+00:00,70.1,ft^3/s,Approved,,2018-09-12 15:15:00-04:00
2018-09-12 19:30:00+00:00,69.4,ft^3/s,Approved,,2018-09-12 15:30:00-04:00
2018-09-12 19:45:00+00:00,69.4,ft^3/s,Approved,,2018-09-12 15:45:00-04:00
2018-09-12 20:00:00+00:00,69.4,ft^3/s,Approved,,2018-09-12 16:00:00-04:00
2018-09-12 20:15:00+00:00,68.7,ft^3/s,Approved,,2018-09-12 16:15:00-04:00
2018-09-12 20:30:00+00:00,68.7,ft^3/s,Approved,,2018-09-12 16:30:00-04:00
2018-09-12 20:45:00+00:00,68.7,ft^3/s,Approved,,2018-09-12 16:45:00-04:00
2018-09-12 21:00:00+00:00,68.0,ft^3/s,Approved,,2018-09-12 17:00:00-04:00
2018-09-12 21:15:00+00:00,68.0,ft^3/s,Approved,,2018-09-12 17:15:00-04:00
