time_local,rainfall_inches,discharge_cfs,rainfall_missing,streamflow_missing
2018-09-23 00:00:00-04:00,0.0,1035.0,False,False
2018-09-23 01:00:00-04:00,0.0,1015.0,False,False
2018-09-23 02:00:00-04:00,0.0,1000.0,False,False
2018-09-23 03:00:00-04:00,0.0,980.25,False,False
2018-09-23 04:00:00-04:00,0.0,962.75,False,False
2018-09-23 05:00:00-04:00,0.0,944.75,False,False
2018-09-23 06:00:00-04:00,0.0,927.25,False,False
2018-09-23 07:00:00-04:00,0.0,912.0,False,False
2018-09-23 08:00:00-04:00,0.0,897.0,False,False
2018-09-23 09:00:00-04:00,0.0,880.5,False,False
2018-09-23 10:00:00-04:00,0.0,867.5,False,False
2018-09-23 11:00:00-04:00,0.0,852.5,False,False
2018-09-23 12:00:00-04:00,0.0,839.25,False,False
2018-09-23 13:00:00-04:00,0.0,826.25,False,False
2018-09-23 14:00:00-04:00,0.0,811.25,False,False
2018-09-23 15:00:00-04:00,0.0,799.5,False,False
2018-09-23 16:00:00-04:00,0.0,786.5,False,False
2018-09-23 17:00:00-04:00,0.0,774.5,False,False
2018-09-23 18:00:00-04:00,0.0001103835562416063,762.5,False,False
2018-09-23 19:00:00-04:00,0.0038082275365009335,752.0,False,False
2018-09-23 20:00:00-04:00,0.0,740.75,False,False
2018-09-23 21:00:00-04:00,0.0,729.25,False,False
2018-09-23 22:00:00-04:00,0.0,719.25,False,False
2018-09-23 23:00:00-04:00,0.0,708.75,False,False
2018-09-24 00:00:00-04:00,0.0,699.75,False,False
2018-09-24 01:00:00-04:00,0.0,688.5,False,False
2018-09-24 02:00:00-04:00,0.0,679.75,False,False
2018-09-24 03:00:00-04:00,0.0,670.25,False,False
2018-09-24 04:00:00-04:00,0.0,661.5,False,False
2018-09-24 05:00:00-04:00,0.0,651.5,False,False
2018-09-24 06:00:00-04:00,0.0,644.0,False,False
2018-09-24 07:00:00-04:00,0.0,635.75,False,False
2018-09-24 08:00:00-04:00,0.0,627.5,False,False
2018-09-24 09:00:00-04:00,0.0,619.5,False,False
2018-09-24 10:00:00-04:00,0.0,611.5,False,False
2018-09-24 11:00:00-04:00,0.0,604.0,False,False
2018-09-24 12:00:00-04:00,0.0,597.0,False,False
2018-09-24 13:00:00-04:00,0.0,590.0,False,False
2018-09-24 14:00:00-04:00,0.0,583.5,False,False
2018-09-24 15:00:00-04:00,0.0,576.75,False,False
2018-09-24 16:00:00-04:00,0.0,570.5,False,False
2018-09-24 17:00:00-04:00,0.015508868466396278,565.0,False,False
2018-09-24 18:00:00-04:00,0.02026455404918288,559.0,False,False
2018-09-24 19:00:00-04:00,0.003293105129357319,553.5,False,False
2018-09-24 20:00:00-04:00,0.0004967254109445433,548.5,False,False
2018-09-24 21:00:00-04:00,0.0,543.5,False,False
2018-09-24 22:00:00-04:00,0.000993450975407563,538.5,False,False
2018-09-24 23:00:00-04:00,0.0007726841699612992,533.0,False,False
2018-09-25 00:00:00-04:00,0.0,528.5,False,False
2018-09-25 01:00:00-04:00,0.0,523.5,False,False
2018-09-25 02:00:00-04:00,0.0,519.75,False,False
2018-09-25 03:00:00-04:00,0.0,515.0,False,False
2018-09-25 04:00:00-04:00,0.0,510.5,False,False
2018-09-25 05:00:00-04:00,0.0,506.25,False,False
2018-09-25 06:00:00-04:00,0.0,501.75,False,False
2018-09-25 07:00:00-04:00,0.0,497.5,False,False
2018-09-25 08:00:00-04:00,0.0,493.0,False,False
2018-09-25 09:00:00-04:00,0.0,489.75,False,False
2018-09-25 10:00:00-04:00,0.0,485.0,False,False
2018-09-25 11:00:00-04:00,0.0,481.75,False,False
2018-09-25 12:00:00-04:00,0.0024192365591902717,478.0,False,False
2018-09-25 13:00:00-04:00,0.043886600916060545,474.0,False,False
2018-09-25 14:00:00-04:00,0.14259695811587125,469.75,False,False
2018-09-25 15:00:00-04:00,0.13546802945129655,467.75,False,False
2018-09-25 16:00:00-04:00,0.05942306571014144,464.0,False,False
2018-09-25 17:00:00-04:00,0.00045073230637296066,460.5,False,False
2018-09-25 18:00:00-04:00,0.0,457.5,False,False
2018-09-25 19:00:00-04:00,0.0,454.5,False,False
2018-09-25 20:00:00-04:00,0.0,450.75,False,False
2018-09-25 21:00:00-04:00,0.0,448.5,False,False
2018-09-25 22:00:00-04:00,0.0,446.25,False,False
2018-09-25 23:00:00-04:00,0.0,443.25,False,False
2018-09-26 00:00:00-04:00,0.0,440.25,False,False
2018-09-26 01:00:00-04:00,0.0,437.25,False,False
2018-09-26 02:00:00-04:00,0.0,435.0,False,False
2018-09-26 03:00:00-04:00,0.0,432.0,False,False
2018-09-26 04:00:00-04:00,0.0,430.25,False,False
2018-09-26 05:00:00-04:00,0.0,427.5,False,False
2018-09-26 06:00:00-04:00,0.0,426.25,False,False
2018-09-26 07:00:00-04:00,0.0,423.5,False,False
2018-09-26 08:00:00-04:00,0.0,421.25,False,False
2018-09-26 09:00:00-04:00,0.0,419.0,False,False
2018-09-26 10:00:00-04:00,0.0,416.5,False,False
2018-09-26 11:00:00-04:00,0.0,414.5,False,False
2018-09-26 12:00:00-04:00,0.0,412.25,False,False
2018-09-26 13:00:00-04:00,0.0,410.5,False,False
2018-09-26 14:00:00-04:00,0.0,408.25,False,False
2018-09-26 15:00:00-04:00,0.0,406.0,False,False
2018-09-26 16:00:00-04:00,0.0,404.25,False,False
2018-09-26 17:00:00-04:00,0.0,402.25,False,False
2018-09-26 18:00:00-04:00,0.0,400.5,False,False
2018-09-26 19:00:00-04:00,0.0,398.5,False,False
2018-09-26 20:00:00-04:00,0.0,397.0,False,False
2018-09-26 21:00:00-04:00,0.0,395.0,False,False
2018-09-26 22:00:00-04:00,0.0,393.25,False,False
2018-09-26 23:00:00-04:00,0.0,391.0,False,False
2018-09-27 00:00:00-04:00,0.0,389.75,False,False
2018-09-27 01:00:00-04:00,0.0,388.5,False,False
2018-09-27 02:00:00-04:00,0.0,386.5,False,False
2018-09-27 03:00:00-04:00,0.0,384.5,False,False
2018-09-27 04:00:00-04:00,0.0,383.25,False,False
2018-09-27 05:00:00-04:00,0.0,381.5,False,False
2018-09-27 06:00:00-04:00,0.0,379.75,False,False
2018-09-27 07:00:00-04:00,0.0,378.25,False,False
2018-09-27 08:00:00-04:00,0.0,376.0,False,False
2018-09-27 09:00:00-04:00,0.0,375.0,False,False
2018-09-27 10:00:00-04:00,0.0,374.0,False,False
2018-09-27 11:00:00-04:00,0.0,372.5,False,False
2018-09-27 12:00:00-04:00,0.0,370.5,False,False
2018-09-27 13:00:00-04:00,0.0,368.5,False,False
2018-09-27 14:00:00-04:00,0.0,366.5,False,False
2018-09-27 15:00:00-04:00,0.0,364.25,False,False
2018-09-27 16:00:00-04:00,0.0,363.5,False,False
2018-09-27 17:00:00-04:00,0.0,361.0,False,False
2018-09-27 18:00:00-04:00,0.0,359.75,False,False
2018-09-27 19:00:00-04:00,0.00010118486076117322,357.0,False,False
2018-09-27 20:00:00-04:00,0.0004323350250681496,355.75,False,False
2018-09-27 21:00:00-04:00,0.0,354.5,False,False
2018-09-27 22:00:00-04:00,0.0,352.5,False,False
2018-09-27 23:00:00-04:00,0.0,350.75,False,False
2018-09-28 00:00:00-04:00,0.0,349.0,False,False
2018-09-28 01:00:00-04:00,0.0,346.75,False,False
2018-09-28 02:00:00-04:00,0.0,345.0,False,False
2018-09-28 03:00:00-04:00,0.17837957684870404,343.75,False,False
2018-09-28 04:00:00-04:00,0.025553758245788583,343.25,False,False
2018-09-28 05:00:00-04:00,0.004157775091768776,341.75,False,False
2018-09-28 06:00:00-04:00,0.02659320212838683,340.5,False,False
2018-09-28 07:00:00-04:00,0.0025388187231874687,337.75,False,False
2018-09-28 08:00:00-04:00,0.002456031231455949,336.0,False,False
2018-09-28 09:00:00-04:00,0.0,334.5,False,False
2018-09-28 10:00:00-04:00,0.0,332.75,False,False
2018-09-28 11:00:00-04:00,0.0,330.75,False,False
2018-09-28 12:00:00-04:00,0.0,328.0,False,False
2018-09-28 13:00:00-04:00,0.0,326.0,False,False
2018-09-28 14:00:00-04:00,0.0,323.5,False,False
2018-09-28 15:00:00-04:00,0.0,322.75,False,False
2018-09-28 16:00:00-04:00,0.0,321.0,False,False
2018-09-28 17:00:00-04:00,0.0,319.0,False,False
2018-09-28 18:00:00-04:00,0.0,318.0,False,False
2018-09-28 19:00:00-04:00,0.0,314.75,False,False
2018-09-28 20:00:00-04:00,0.0,313.25,False,False
2018-09-28 21:00:00-04:00,0.0,311.5,False,False
2018-09-28 22:00:00-04:00,0.0,309.25,False,False
2018-09-28 23:00:00-04:00,0.0,307.5,False,False
2018-09-29 00:00:00-04:00,0.0,305.75,False,False
2018-09-29 01:00:00-04:00,0.0,304.25,False,False
2018-09-29 02:00:00-04:00,0.0,304.0,False,False
2018-09-29 03:00:00-04:00,0.0,302.0,False,False
2018-09-29 04:00:00-04:00,0.0,300.5,False,False
2018-09-29 05:00:00-04:00,0.0,299.0,False,False
2018-09-29 06:00:00-04:00,0.0,297.25,False,False
2018-09-29 07:00:00-04:00,0.0,296.75,False,False
2018-09-29 08:00:00-04:00,0.0,295.25,False,False
2018-09-29 09:00:00-04:00,0.0,294.5,False,False
2018-09-29 10:00:00-04:00,0.0,292.75,False,False
2018-09-29 11:00:00-04:00,0.0,292.25,False,False
2018-09-29 12:00:00-04:00,0.0,290.25,False,False
2018-09-29 13:00:00-04:00,0.0,290.0,False,False
2018-09-29 14:00:00-04:00,0.0,288.75,False,False
2018-09-29 15:00:00-04:00,0.0,287.0,False,False
2018-09-29 16:00:00-04:00,0.0,285.75,False,False
2018-09-29 17:00:00-04:00,0.0,284.75,False,False
2018-09-29 18:00:00-04:00,0.0,284.0,False,False
2018-09-29 19:00:00-04:00,0.0,282.75,False,False
2018-09-29 20:00:00-04:00,0.0,281.75,False,False
2018-09-29 21:00:00-04:00,0.0,280.5,False,False
2018-09-29 22:00:00-04:00,0.0,279.0,False,False
2018-09-29 23:00:00-04:00,0.0,278.0,False,False
2018-09-30 00:00:00-04:00,0.0,278.0,False,False
