site_number,site_name,time_local,discharge_cfs
02092500,"Trent River near Trenton, NC",2018-09-19 03:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 04:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 05:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 06:00:00-04:00,15600.0
02092500,"Trent River near Trenton, NC",2018-09-19 07:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 08:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 09:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 10:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 11:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 12:00:00-04:00,11800.0
02092500,"Trent River near Trenton, NC",2018-09-19 13:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 14:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 15:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 16:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 17:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 18:00:00-04:00,8560.0
02092500,"Trent River near Trenton, NC",2018-09-19 19:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 20:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 21:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 22:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-19 23:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 00:00:00-04:00,5850.0
02092500,"Trent River near Trenton, NC",2018-09-20 01:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 02:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 03:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 04:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 05:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 06:00:00-04:00,3920.0
02092500,"Trent River near Trenton, NC",2018-09-20 07:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 08:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 09:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 10:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 11:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 12:00:00-04:00,
02092500,"Trent River near Trenton, NC",2018-09-20 13:00:00-04:00,3275.0
02092500,"Trent River near Trenton, NC",2018-09-20 14:00:00-04:00,3212.5
02092500,"Trent River near Trenton, NC",2018-09-20 15:00:00-04:00,3170.0
02092500,"Trent River near Trenton, NC",2018-09-20 16:00:00-04:00,3120.0
02092500,"Trent River near Trenton, NC",2018-09-20 17:00:00-04:00,3072.5
02092500,"Trent River near Trenton, NC",2018-09-20 18:00:00-04:00,3022.5
02092500,"Trent River near Trenton, NC",2018-09-20 19:00:00-04:00,2982.5
02092500,"Trent River near Trenton, NC",2018-09-20 20:00:00-04:00,2932.5
02092500,"Trent River near Trenton, NC",2018-09-20 21:00:00-04:00,2797.5
02092500,"Trent River near Trenton, NC",2018-09-20 22:00:00-04:00,2837.5
02092500,"Trent River near Trenton, NC",2018-09-20 23:00:00-04:00,2682.5
02092500,"Trent River near Trenton, NC",2018-09-21 00:00:00-04:00,2707.5
02092500,"Trent River near Trenton, NC",2018-09-21 01:00:00-04:00,2555.0
02092500,"Trent River near Trenton, NC",2018-09-21 02:00:00-04:00,2632.5
02092500,"Trent River near Trenton, NC",2018-09-21 03:00:00-04:00,2555.0
02092500,"Trent River near Trenton, NC",2018-09-21 04:00:00-04:00,2465.0
02092500,"Trent River near Trenton, NC",2018-09-21 05:00:00-04:00,2447.5
02092500,"Trent River near Trenton, NC",2018-09-21 06:00:00-04:00,2382.5
02092500,"Trent River near Trenton, NC",2018-09-21 07:00:00-04:00,2350.0
02092500,"Trent River near Trenton, NC",2018-09-21 08:00:00-04:00,2312.5
02092500,"Trent River near Trenton, NC",2018-09-21 09:00:00-04:00,2260.0
02092500,"Trent River near Trenton, NC",2018-09-21 10:00:00-04:00,2212.5
02092500,"Trent River near Trenton, NC",2018-09-21 11:00:00-04:00,2170.0
02092500,"Trent River near Trenton, NC",2018-09-21 12:00:00-04:00,2122.5
02092500,"Trent River near Trenton, NC",2018-09-21 13:00:00-04:00,2085.0
02092500,"Trent River near Trenton, NC",2018-09-21 14:00:00-04:00,2037.5
02092500,"Trent River near Trenton, NC",2018-09-21 15:00:00-04:00,1990.0
02092500,"Trent River near Trenton, NC",2018-09-21 16:00:00-04:00,1945.0
02092500,"Trent River near Trenton, NC",2018-09-21 17:00:00-04:00,1912.5
02092500,"Trent River near Trenton, NC",2018-09-21 18:00:00-04:00,1870.0
02092500,"Trent River near Trenton, NC",2018-09-21 19:00:00-04:00,1837.5
02092500,"Trent River near Trenton, NC",2018-09-21 20:00:00-04:00,1805.0
02092500,"Trent River near Trenton, NC",2018-09-21 21:00:00-04:00,1775.0
02092500,"Trent River near Trenton, NC",2018-09-21 22:00:00-04:00,1737.5
02092500,"Trent River near Trenton, NC",2018-09-21 23:00:00-04:00,1707.5
02092500,"Trent River near Trenton, NC",2018-09-22 00:00:00-04:00,1677.5
02092500,"Trent River near Trenton, NC",2018-09-22 01:00:00-04:00,1645.0
02092500,"Trent River near Trenton, NC",2018-09-22 02:00:00-04:00,1615.0
02092500,"Trent River near Trenton, NC",2018-09-22 03:00:00-04:00,1585.0
02092500,"Trent River near Trenton, NC",2018-09-22 04:00:00-04:00,1555.0
